playerID,yearID,teamID,lgID,AB,R,H,X2B,X3B,HR,RBI,SB,BB,SO,HBP,SH,SF
cowgico01,2011,ARI,NL,92,8,22,3,0,1,9,4,8,28,0,0,0
cozarza01,2011,CIN,NL,37,6,12,0,0,2,3,0,0,6,0,1,0
craigal01,2011,SLN,NL,200,33,63,15,0,11,40,5,15,40,1,1,2
crainje01,2011,CHA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
cramebo01,2011,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
crawfbr01,2011,SFN,NL,196,22,40,5,2,3,21,1,23,31,0,1,0
crawfca02,2011,BOS,AL,506,65,129,29,7,11,56,18,23,104,3,2,4
crispco01,2011,OAK,AL,531,69,140,27,5,8,54,49,41,65,1,4,6
crottmi01,2011,PIT,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
crowaa01,2011,KCA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
crowetr01,2011,CLE,AL,28,6,6,1,0,0,2,3,4,9,0,0,0
cruzju02,2011,TBA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
cruzne02,2011,TEX,AL,475,64,125,28,1,29,87,9,33,116,2,0,3
cruzto03,2011,SLN,NL,65,8,17,5,0,0,6,0,6,13,1,0,0
cuddymi01,2011,MIN,AL,529,70,150,29,2,20,70,11,48,95,4,0,3
cuetojo01,2011,CIN,NL,47,3,3,0,0,0,0,0,2,11,0,7,0
cunniaa01,2011,SDN,NL,90,12,16,6,1,3,9,1,9,17,1,0,1
custja01,2011,SEA,AL,225,19,48,15,1,3,23,0,44,87,1,0,0
daleyma01,2011,COL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
damonjo01,2011,TBA,AL,582,79,152,29,7,16,73,19,51,92,7,2,5
danksjo01,2011,CHA,AL,3,0,0,0,0,0,0,0,0,0,0,0,0
darnach01,2011,PIT,NL,143,17,31,6,2,0,6,12,4,36,1,2,1
darneja01,2011,SDN,NL,45,2,10,2,0,1,7,1,5,7,0,1,1
davieky01,2011,KCA,AL,1,0,0,0,0,0,0,0,0,1,0,0,0
davisbl01,2011,BAL,AL,59,6,15,3,1,1,6,1,6,13,0,0,0
davisch02,2011,TEX,AL,76,9,19,3,0,3,6,0,5,24,0,0,0
davisdo02,2011,CHN,NL,10,0,0,0,0,0,0,0,0,4,0,3,0
davisik02,2011,NYN,NL,129,20,39,8,1,7,25,0,17,31,1,0,2
davisra01,2011,TOR,AL,320,44,76,21,6,1,29,34,15,63,1,1,1
daviswa01,2011,TBA,AL,2,0,1,0,0,0,0,0,0,1,0,2,0
deazaal01,2011,CHA,AL,152,29,50,11,3,4,23,12,17,34,1,1,0
dedunsa01,2011,SDN,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
defraju01,2011,PHI,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
dejesda01,2011,OAK,AL,442,60,106,20,5,10,46,4,45,86,11,4,4
dejesiv02,2011,LAN,NL,32,2,6,0,0,0,1,0,2,11,0,1,0
delabst01,2011,SEA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
delaceu01,2011,MIL,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
delanro01,2011,TBA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
delarda01,2011,TBA,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
delarjo01,2011,COL,NL,21,1,5,0,0,0,3,0,0,10,0,2,0
delarru01,2011,LAN,NL,14,1,3,0,0,0,0,0,1,1,0,1,0
delgara01,2011,ATL,NL,10,0,0,0,0,0,0,0,0,6,0,1,0
delosfa01,2011,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
delroen01,2011,HOU,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
demelsa01,2011,ARI,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
dempsry01,2011,CHN,NL,58,1,5,0,0,0,0,0,1,19,0,10,0
denorch01,2011,SDN,NL,307,38,85,13,2,5,19,11,28,49,1,2,2
derosma01,2011,SFN,NL,86,9,24,2,0,0,12,1,8,18,2,0,1
descada01,2011,SLN,NL,326,35,86,20,3,1,28,2,33,65,3,10,3
desmoia01,2011,WAS,NL,584,65,148,27,5,8,49,25,35,139,4,11,5
detwiro01,2011,WAS,NL,19,0,2,0,0,0,1,0,0,3,0,3,0
devinjo01,2011,OAK,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
dewitbl01,2011,CHN,NL,230,21,61,11,4,5,26,1,12,31,1,0,0
diamosc01,2011,MIN,AL,0,0,0,0,0,0,0,0,0,0,0,0,0
diazma02,2011,PIT,NL,216,14,56,12,1,0,19,4,11,44,3,0,1
dickech01,2011,NYA,AL,50,9,13,2,0,1,7,4,2,17,1,1,1
